songName,artists,lyricists,musicComposers,genres,lyrics,metaphors
Dili Dili Dilisewi – දිලි දිලි දිලීසේවි,H.R.Jothipala,Siri Nihal Jayasingha,Sarath De Alwis,Movie Songs,"දිලි දිලි දිලීසේවි ‍මා දෑසෙ ආලෝකෙ//
කව්දෝ මාන බලන්නේ ඔබ ලඟ මා ඉන්නේ//
හිතවත මේ ලෝකේ බොරුවෙන්ද ජයගන්නේ//
සතුරා සමඟ සිනාසී මිතුරා සේ ඉන්නේ//
ඇස්බැන්දුමක් වාගේ මේ ලෝ තලේ
මොහොතින් බිදී යාවී සිතු සෑමදේ...
අපගේ සිහින පාරුවේ පාවී
සයුරේ ඈත ජීවිතේ යාවී..
මල් වර වී යෞවනේ සල් වනේ ආදරේ
කව්දෝ මවා පාන මායාවකි
ඔබගේ ලගින් ඉන්නෙ ඡායාවකි
ඔහුගේ දෑස ඔබ සොයා යන්නේ
සැගවූ රහස නැ ප්‍රෙමේ දන්නේ
මල් වර වී යෞවනේ සල් වනේ ආදරේ","[{'metaphor': None, 'interpretation': None}]"
Dakina Dasune – දකින දසුනේ,H.R.Jothipala,Karunarathna Abeysekara,T F Latif,Movie Songs,"දකින දසුනේ දෙනෙත ඇඳුනේ
සොඳුරු ඔබෙ රුව වේ
පවනෙ ඇසුනේ සවන රැඳුනේ
ඔබගෙ කට හඬ වේ
ඔබගෙ කට හඬ වේ
මහද විමනේ කැකුළු යහනේ
ඔබයි සැතපෙන්නේ
සිතන සිතුමේ පතන පැතුමේ
ඔබයි හිනැහෙන්නේ
ඔබයි හිනැහෙන්නේ
දෙපස ගංගා දෙකකි එක්වී
එක තැනට ආවේ
එකම ඒ ගං ජලය මුසුවී
සයුර තුළ පාවේ
සයුර තුළ පාවේ","[{'metaphor': None, 'interpretation': None}]"
Chandra Me Re – චන්ද්‍රා මෙ රෑ පායා,"Sujatha Attanayaka,H.R.Jothipala",Hurbet M Senevirathna,R.Muththusami,"Classics,Movie Songs,Duets","චන්ද්‍රා මෙ රෑ පායා ආවා හර්දේ පෙමින් නාව නාවා
මේ ආදරේ වාසනාවන්….. දුක් වේදනාවන් නිවේවා
ඔබගේ සිනාවෙන් මුළා වී මේ රෑ පවා මල් පිපේවී
රන් තාරකාවෝ සිනා සී ප්‍රේමේ අමා ගී ගයා වී
ආශාව ආවාද මෝරා හැමදාම ඔබ මාගෙ වේවා
සතුටයි සැපයි ඔබය මාගේ ඔබ පෙම්වතී පෙම්වතාගේ
සතුටයි සැපයි ඔබය මාගේ ඔබ පෙම්වතී පෙම්වතාගේ
අරගන්න ඔබෙ දෑත හුරතල් දෛවේ මගේ පිහිට වේවා","[{'metaphor': None, 'interpretation': None}]"
Diya Kinduriya Se – දිය කිඳුරිය සේ,H.R.Jothipala,Upali Dhanawalawithana,Sarath De Alwis,Movie Songs,"දිය කිඳුරිය සේ සාගරේ දෝතින් ගෙන ආ ආදරේ
මහද විමනේ ආල සිතුවම් රුවන් රූ පිලිරූ මැවේ
කිව මැන ඔබ කව්දෝ ලදේ...//
දේහ ලතාවේ රූසිරු වරුනේ
නොදැනී මේ නෙත යාවෙලා
දිගුනිල් වරලේ නිළුපුල් නයනේ
සැගවේවා අද පාවෙලා
මිනිදැල් පරදා හසකැන් නැගුනා
පෙම් ඇරයුම් ගෙන ආ නිසා
මනසේ ඇදුනා‍ දෙනෙතින් මිදුනා
සිහිනය සේ නොපෙනී ගියා
මේ දිවි ගමනේ රන් ටැඹ ඔබවේ
උපදින සසරේ වාසනා
දෙදෙනා හමුවී පෙරදා සසරේ
උන්නා සේ මට ලංවෙලා
සුපුරුදු සුවඳයි ඔබ ලඟ රැදුනේ
කව්රුන්දෝ මේ රූපිකා
හිරුදැක දිලෙනා පිණි මල වාගේ
ඔබ ඇසුරෙන් වෙන්වී නොයා
රෑ තනි ඉවුරේ ඈත ඉසව්වේ
දෙදෙනා යමු පෙම් චාරිකා
තනිවෙමු ඔබ මා මේ සැණකෙලියේ
ඔබ‍ටයි මේ පෙම් ගීතිකා","[{'metaphor': None, 'interpretation': None}]"
Diya Podak Wemin – දිය පොදක් වෙමින්,H.R.Jothipala,Karunarathna Abeysekara,Sarath Dasanayaka,"Golden Pop,Classics","දිය පොදක් වෙමින් තොල් වියලෙන පිපාසෙට
නුග රුකක් ලෙසින් උතුරා යන විඩාවට
පිපි මලක් උනා මල් නොපිපුණු තටාකෙට
ඔබ අගෙයි ළඳේ හෙට අදටත් වඩා මට//
අරුත් සුන් වදන් පවසන ගිරවු දොඩමලු
හෙටත් නගපුදෙන් ඔය කිචිබිචිය සුළු සුළු
තිගැස්සී සැනින් ඔබ විය යුතුද බියගුළු
දකින්නට ලැබෙයි අපටත් සිසිල අරුණළු
ඔබේ ප්‍රිය වදන් පුදදෙන සහන සිතිවිලී
අරන් එයි පෙරන් අපමණ සුවය සැනසිලී
සුගන්ධය ලෑබූ දින ඇත අවට වෙලි වෙලී
මගෙන් රන්මලී කුමටද සැලෙන තරු එලී","[{'metaphor': None, 'interpretation': None}]"
Dolos Mahe – දොළොස්මහේ පහන,H.R.Jothipala,Dharmasiri Gamage,Unknown,Old Pops,"දොළොස්මහේ පහන වාගෙ පැලට එළිය දුන්න
මවයි පියයි සනස්සමින් සන්තෝසෙන් ඉන්න
අරුන්දතිය මල්ලි මොටද ගමන් බිමන් යන්න..
අදින් පසුව මේ පාරෙන් ඔබ තනියම එන්න
මල් නෙලලා මල් ගොතලා මාල පළන්දන්නම්
වැල්ල දිගේ කැලැවේදි අඹ කඩලා දෙන්නම්
රැල්ල කපා ගඟෙන් එගොඩ ඔරුවේ ගෙන යන්නම්
චිල්ල මලේ ඔන්චිලි චිලි ඔන්චිලි පදවන්නම්
වෙසක් මාසෙ දොසක් නොමැති නැකතක් තෝරනවා
තොරණ් බැඳල රබන් ගහල ගෙට කැන්ඳන් එනවා
කැවුම් කෙසෙල් කිරිබත් ගෙන ජයට මඟුල් කනවා
එයින් පස්සෙ ඔබ වෙනුවෙන් මා ජීවත් වෙනවා","[{'metaphor': None, 'interpretation': None}]"
Dothin Dothai – දෝතින් දෝතයි(කුරු කූ),"Angelin Gunathilaka,H.R.Jothipala",Cyril A Seelawimala,T F Latif,"Duets,Movie Songs","දෝතින් දෝතයි ජීවෙන් ජීවෙයි ජය මංගල හඬ දෙයි
කුරු කූ   කුරු කූ  කුරු කූ   කුරු කූ
කුරු කූ   කුරු කූ  කුරු කූ
ලෝකෙම සුවඳයි ඒ පෙම් සුවඳයි මංගල මල් පිබිදෙයි
කුරු කූ   කුරු කූ  කුරු කූ   කුරු කූ
කුරු කූ   කුරු කූ  කුරු කූ
සෙවනැලි සීතල ලිය ගොමුවේ අපටයි සුභ පැතුවේ
සුදු මල් පෙති සලිතව සැලුනේ අපටයි ඉඟි මැරුවේ//
එක පොඩි රහසේ රස දහසක් වේ රස උතුරන වයසේ
කුරු කූ   කුරු කූ  කුරු කූ   කුරු කූ
කුරු කූ   කුරු කූ  කුරු කූ
සසරේ ජීවන සහ කරුවා පැතුසේ මෙහි ආවා
නාඹර සිතිවිලි පල දැරුවා නැඹුල් මල් නෙලුවා
සන්සුන් ගමනක වන්හුන් දැක දැක ජය පිට ජය පැතුවා
කුරු කූ   කුරු කූ  කුරු කූ   කුරු කූ
කුරු කූ   කුරු කූ  කුරු කූ","[{'metaphor': None, 'interpretation': None}]"
Gedara Hitiya Rosa – ගෙදර හිටිය රෝසා,"M.S.Fernando,H.R.Jothipala",Dharmasiri Gamage,Premasiri Khemadasa,Movie Songs,"ගෙදර හිටිය රෝස කැකුල රෝසා
ඔමරි පොමරි දාපු මුකුළු රෝසා
අපිත් එක්‌ක හරි යාළුයි රෝසා
රෝසා නැතුව ගේ පාළුයි රෝසා//
මල් මී පැණි සේරු සේරු පෙම් මදිරා සාරු සාරු//
බීලා මොටද රෝසා නැතුව රෝසා
දෑතට දී වාරු වාරු ගඟ මැද ඔරු පාරු පාරු
පැදල මොටද රෝසා නැතුව රෝසා
උණට කොත්තමල්ලි දුන්න රෝසා
සෝඩා ටොනික්‌ කඩෙන් ගෙනා රෝසා
අපිත් එක්‌ක හරි යාළුයි රෝසා
රෝසා නැතුව ගේ පාළුයි රෝසා//
සුවඳ සබන් ගාපු ගාපු ගාල නාල ආපු ආපු//
පුසුඹ ගහපු රෝස නොන රෝසා
කොණ්‌ඩෙ කඩන් පීරු පීරු රැජිණට අපි තේරු තේරු
රෝස කැකුළ කොහිද ගියේ රෝසා","[{'metaphor': None, 'interpretation': None}]"
Durakathanayakin – දුරකතනයකින්,H.R.Jothipala,Unknown,Milroy Dharmarathna,Old Pops,"දුරකතනයකින් මම ඔබ අමතමි
හමුවිය නොහැකි නිසා
මගෙ හිත හදුනන ඔබ පිලිගත්තද
ඇතැමුන් කියන මුසා
සයුරට රල මෙන් වෙරලට වැලි මෙන්
අප බැදිලා උන්නේ
තොටුපොල හැර යන නෞකාවක් මෙනි
ඔබ ඇදිලා යන්නේ
මට තව මතකයි මගෙ මුල් ගීතයේ
තනුව කියා දුන්නා
යන තැන නිරතුරු පහනක් අරගෙන
පසුපස පිය මැන්නා
ඔබමයි ආවේ ඔබමයි යන්නේ
මා ඒතැනම එහෙමයි
නිදුකින් ඉනු මැන ඔබ සතුටින් නම්
මගේ සතුටද එයමයි…","[{'metaphor': None, 'interpretation': None}]"
Etha Dilisena – ඈත දිලිසෙන,"Angelin Gunathilaka,H.R.Jothipala",Premakeerthi De Alwis,P.L.A.Somapala,"Golden Pop,Duets,Old Pops","හෝ…හෝ හො  හෝ…හෝ හෝ හෝ….
ඈත දිලිසෙන හිරු සඳු රන්තරු
රහසේ කීවා මට ඔබ ගැන තොරතුරු
මගේ නෙත් යුග මතු පියවෙන තුරු
ආදරෙයි මා ආදරෙයි//
ළා තණ නිල්ලේ… පිණි කඳුළැල්ලේ
මා ඔබ දුටු ඒ ප්‍රේම ලෝකේ//
දෑස දෑසක් සොයා තනි වූ දිනේදි
මධු සඳ රැල්ලේ සතුටු සඳැල්ලේ
වාසනාවේ අමිල උදාවේ
සීත සුළ‍ඟේ වෙලී මතු හමුවුණාවේ","[{'metaphor': None, 'interpretation': None}]"
